Job Position, Company, Required skills, Location, More info
JOB OPENING FOR PACKING / HELPER/ LOADER / SCANING,Freelancer,Packaging Material | HELPER | LOADER | SCANING,Yavatmal,https://www.timesjobs.com/job-detail/job-opening-for-packing-helper-loader-scaning-veda-solutions-yavatmal-0-to-1-yrs-jobid-g0ICFkjQ2NxzpSvf__PLUS__uAgZw==&source=srp
Picking and Packing,Freelancer,Packing Materials,Latur,https://www.timesjobs.com/job-detail/picking-and-packing-vedha-solutions-latur-0-to-1-yrs-jobid-2ruTV6W57UdzpSvf__PLUS__uAgZw==&source=srp
Picker / Packer,Freelancer,packing,Solapur,https://www.timesjobs.com/job-detail/picker-packer-freelancer-solapur-0-to-3-yrs-jobid-Oq6ZmeyVBFFzpSvf__PLUS__uAgZw==&source=srp
Analyst - Data Scientist,buck global llc,spare parts | process improvement | planning | industrial engineering | repair | lean | technical operations | aircraft maintenance | implementation | maintenance planning | process flow | maintenance,Gurgaon,https://www.timesjobs.com/job-detail/analyst-data-scientist-buck-global-llc-gurgaon-0-to-3-yrs-jobid-l1BMZjgEmpNzpSvf__PLUS__uAgZw==&source=srp
Western Digital Principal Engineer  / Electronic Design Engineering,buck global llc,innovation | pumps | pcb | sensors | circuits,Bengaluru / Bangalore,https://www.timesjobs.com/job-detail/western-digital-principal-engineer-electronic-design-engineering-buck-global-llc-bengaluru-bangalore-8-to-11-yrs-jobid-lKR__SLASH__ljFGwI5zpSvf__PLUS__uAgZw==&source=srp
JOB OPENING FOR PACKING / HELPER/ LOADER / SCANING,Freelancer,Packaging Material | HELPER | LOADER | SCANING,Satara,https://www.timesjobs.com/job-detail/job-opening-for-packing-helper-loader-scaning-veda-solutions-satara-0-to-1-yrs-jobid-TV__SLASH__5ANrP79xzpSvf__PLUS__uAgZw==&source=srp
Maintenance Sam's,WALMART INDIA,maintenance associate | forklift | ideas | safety standards | plastic | safety | maintenance,unknown,https://www.timesjobs.com/job-detail/maintenance-sam-s-walmart-india-0-to-3-yrs-jobid-29bFujzoznNzpSvf__PLUS__uAgZw==&source=srp
Meat Cutter / Wrapper,WALMART INDIA,production | ideas | safety standards | cutting | action | operational excellence | maintenance,unknown,https://www.timesjobs.com/job-detail/meat-cutter-wrapper-walmart-india-0-to-3-yrs-jobid-orgANKSZ2F5zpSvf__PLUS__uAgZw==&source=srp
Meat Cutter / Wrapper,WALMART INDIA,production | ideas | safety standards | cutting | action | operational excellence | maintenance,unknown,https://www.timesjobs.com/job-detail/meat-cutter-wrapper-walmart-india-0-to-3-yrs-jobid-HLJ2Dsgz5ZxzpSvf__PLUS__uAgZw==&source=srp
Bakery Lead,WALMART INDIA,production | ideas | planning | safety | product specifications | action | operational excellence,unknown,https://www.timesjobs.com/job-detail/bakery-lead-walmart-india-0-to-3-yrs-jobid-q7AsVl0PsG5zpSvf__PLUS__uAgZw==&source=srp
Maintenance Sam's,WALMART INDIA,maintenance associate | forklift | ideas | safety standards | plastic | safety | maintenance,unknown,https://www.timesjobs.com/job-detail/maintenance-sam-s-walmart-india-0-to-3-yrs-jobid-1mGgm__PLUS__aZtshzpSvf__PLUS__uAgZw==&source=srp
Backroom Associate - Sam's Club,WALMART INDIA,documentation | forklift | ideas | safety standards | safety | action,unknown,https://www.timesjobs.com/job-detail/backroom-associate-sam-s-club-walmart-india-0-to-3-yrs-jobid-kK3__SLASH__J7QDbpNzpSvf__PLUS__uAgZw==&source=srp
Home Meal Solutions & Rotisserie,WALMART INDIA,forklift | ideas | safety standards | safety,unknown,https://www.timesjobs.com/job-detail/home-meal-solutions-rotisserie-walmart-india-0-to-3-yrs-jobid-uebIB__PLUS__LbtUBzpSvf__PLUS__uAgZw==&source=srp
Cafe Associate,WALMART INDIA,production | ideas | planning | product specifications | action,unknown,https://www.timesjobs.com/job-detail/cafe-associate-walmart-india-0-to-3-yrs-jobid-ZcMZZT1aSNtzpSvf__PLUS__uAgZw==&source=srp
Meat Cutter / Wrapper,WALMART INDIA,grinder | forklift | ideas | safety standards | safety | cutting,unknown,https://www.timesjobs.com/job-detail/meat-cutter-wrapper-walmart-india-0-to-3-yrs-jobid-R2knzNlBz8tzpSvf__PLUS__uAgZw==&source=srp
Home Meal Solutions & Rotisserie,WALMART INDIA,production | ideas | planning | product specifications | action,unknown,https://www.timesjobs.com/job-detail/home-meal-solutions-rotisserie-walmart-india-0-to-3-yrs-jobid-qYm70R__SLASH__ZukxzpSvf__PLUS__uAgZw==&source=srp
Senior Meat Cutter,WALMART INDIA,production | ideas | planning | cutting | action | operational excellence,unknown,https://www.timesjobs.com/job-detail/senior-meat-cutter-walmart-india-0-to-3-yrs-jobid-h__PLUS__aEtEXBgBJzpSvf__PLUS__uAgZw==&source=srp
Auto Care Center Manager / Store - Wm Stores,WALMART INDIA,vehicles | safety | supervision | action | innovation | ideas | license | automotive service,unknown,https://www.timesjobs.com/job-detail/auto-care-center-manager-store-wm-stores-walmart-india-2-to-5-yrs-jobid-UoSHwX66ZjJzpSvf__PLUS__uAgZw==&source=srp
Meat Cutter / Wrapper,WALMART INDIA,production | ideas | safety standards | cutting | action | operational excellence | maintenance,unknown,https://www.timesjobs.com/job-detail/meat-cutter-wrapper-walmart-india-0-to-3-yrs-jobid-Km3Khxm7CJhzpSvf__PLUS__uAgZw==&source=srp
Meat Cutter / Wrapper,WALMART INDIA,production | ideas | safety standards | cutting | action | operational excellence | maintenance,unknown,https://www.timesjobs.com/job-detail/meat-cutter-wrapper-walmart-india-0-to-3-yrs-jobid-wfvCjI3YeeBzpSvf__PLUS__uAgZw==&source=srp
Maintenance Sam's,WALMART INDIA,maintenance associate | forklift | ideas | safety standards | plastic | safety | maintenance,unknown,https://www.timesjobs.com/job-detail/maintenance-sam-s-walmart-india-0-to-3-yrs-jobid-QWPKgXe9HshzpSvf__PLUS__uAgZw==&source=srp
Cafe Associate,WALMART INDIA,production | ideas | planning | product specifications | action,unknown,https://www.timesjobs.com/job-detail/cafe-associate-walmart-india-0-to-3-yrs-jobid-7EuEDYlntntzpSvf__PLUS__uAgZw==&source=srp
Auto Care Center Manager / Store - Wm Stores,WALMART INDIA,vehicles | safety | supervision | action | innovation | ideas | license | automotive service,unknown,https://www.timesjobs.com/job-detail/auto-care-center-manager-store-wm-stores-walmart-india-2-to-5-yrs-jobid-eVDLLXizdlBzpSvf__PLUS__uAgZw==&source=srp
